Could Not Get Terminal. Make Sure You're Using A Terminal Emulator And Not A Socket (ex: vim)
         87807 function calls (84437 primitive calls) in 0.225 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(lstsq)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(outer)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(polyfit)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(polyval)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(vander)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(zeros_like)
   773/42    0.001    0.000    0.158    0.004 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      506    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      181    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      506    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      325    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    255/3    0.000    0.000    0.224    0.075 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1793    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      295    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      375    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      164    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
   164/17    0.000    0.000    0.215    0.013 <frozen importlib._bootstrap>:576(module_from_spec)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    164/3    0.001    0.000    0.225    0.075 <frozen importlib._bootstrap>:663(_load_unlocked)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      506    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
